iter	Passed	Remaining
428	1239	1649
429	1240	1644
430	1241	1639
431	1242	1633
432	1243	1628
433	1244	1623
434	1245	1618
435	1247	1613
436	1248	1608
437	1249	1602
438	1251	1598
439	1252	1593
440	1253	1589
441	1254	1584
442	1256	1579
443	1257	1574
444	1258	1569
445	1259	1564
446	1261	1560
447	1265	1559
448	1267	1555
449	1269	1551
450	1270	1546
451	1271	1541
452	1272	1536
453	1273	1531
454	1275	1527
455	1276	1523
456	1278	1518
457	1280	1514
458	1281	1510
459	1283	1507
460	1285	1503
461	1286	1498
462	1288	1494
463	1289	1489
464	1290	1484
465	1291	1480
466	1293	1475
467	1295	1473
468	1297	1468
469	1298	1464
470	1299	1459
471	1300	1455
472	1301	1450
473	1303	1445
474	1304	1441
475	1305	1436
476	1306	1432
477	1307	1427
478	1308	1423
479	1310	1419
480	1312	1415
481	1313	1411
482	1314	1406
483	1315	1402
484	1317	1398
485	1318	1394
486	1319	1389
487	1320	1385
488	1321	1380
489	1322	1376
490	1323	1372
491	1326	1369
492	1327	1365
493	1328	1361
494	1329	1356
495	1331	1352
496	1332	1348
497	1333	1343
498	1334	1339
499	1335	1335
500	1336	1331
501	1337	1326
502	1338	1322
503	1340	1319
504	1341	1315
505	1342	1311
506	1344	1306
507	1345	1302
508	1346	1298
509	1347	1294
510	1348	1290
511	1349	1286
512	1350	1282
513	1351	1278
514	1352	1273
515	1354	1270
516	1355	1266
517	1357	1263
518	1359	1259
519	1360	1255
520	1361	1251
521	1362	1247
522	1363	1243
523	1364	1239
524	1365	1235
525	1366	1231
526	1368	1227
527	1369	1224
528	1371	1221
529	1372	1217
530	1373	1213
531	1374	1209
532	1375	1205
533	1376	1201
534	1377	1197
535	1379	1193
536	1380	1190
537	1381	1186
538	1382	1182
539	1384	1178
540	1386	1175
541	1387	1172
542	1388	1168
543	1389	1164
544	1390	1160
545	1391	1156
546	1392	1153
547	1393	1149
548	1394	1145
549	1395	1141
550	1396	1138
551	1399	1135
552	1401	1132
553	1402	1128
554	1403	1125
555	1404	1121
556	1405	1117
557	1406	1114
558	1407	1110
559	1408	1106
560	1409	1103
561	1410	1099
562	1411	1095
563	1416	1094
564	1418	1092
565	1420	1089
566	1421	1085
567	1422	1081
568	1423	1078
569	1424	1074
570	1425	1071
571	1426	1067
572	1428	1064
573	1429	1061
574	1431	1057
575	1432	1054
576	1433	1050
577	1434	1047
578	1435	1043
579	1436	1040
580	1437	1036
581	1438	1033
582	1439	1029
583	1441	1026
584	1442	1023
585	1443	1019
586	1444	1016
587	1446	1013
588	1447	1010
589	1449	1007
590	1450	1003
591	1451	1000
592	1452	996
593	1454	993
594	1455	990
595	1456	987
596	1458	984
597	1460	981
598	1461	978
599	1462	975
600	1463	971
601	1464	968
602	1465	965
603	1466	961
604	1467	958
605	1469	955
606	1470	951
607	1471	948
608	1473	946
